fichier	leaf	surfaceLeaf	surfaceLesion
IMG_5598_50	1	588137	41
IMG_5598_50	1	588137	408
IMG_5598_50	1	588137	3317
IMG_5598_50	1	588137	20
IMG_5598_50	1	588137	32
IMG_5598_50	1	588137	847
IMG_5598_50	1	588137	884
IMG_5598_50	1	588137	74
IMG_5598_50	1	588137	108
IMG_5598_50	1	588137	134
IMG_5598_50	1	588137	19
IMG_5598_50	1	588137	274
IMG_5598_50	1	588137	21
IMG_5598_50	1	588137	539
IMG_5598_50	1	588137	91
IMG_5598_50	1	588137	87
IMG_5598_50	1	588137	56
IMG_5598_50	1	588137	10
IMG_5598_50	1	588137	53
IMG_5598_50	1	588137	322
IMG_5598_50	1	588137	14
IMG_5598_50	1	588137	17
IMG_5598_50	1	588137	69
IMG_5598_50	1	588137	87
IMG_5598_50	1	588137	49
IMG_5598_50	1	588137	26
IMG_5598_50	1	588137	10
IMG_5598_50	1	588137	64
IMG_5598_50	1	588137	16
IMG_5598_50	1	588137	90
IMG_5598_50	1	588137	1084
IMG_5598_50	1	588137	683
IMG_5598_50	1	588137	50
IMG_5598_50	1	588137	182
IMG_5598_50	1	588137	19
IMG_5598_50	1	588137	48
IMG_5598_50	1	588137	111
IMG_5598_50	1	588137	55
IMG_5598_50	1	588137	56
IMG_5598_50	1	588137	194
IMG_5598_50	1	588137	18
IMG_5598_50	1	588137	12
IMG_5598_50	1	588137	123
IMG_5598_50	1	588137	20
IMG_5598_50	1	588137	19
IMG_5598_50	1	588137	47
IMG_5598_50	1	588137	149
IMG_5598_50	1	588137	1283
IMG_5598_50	1	588137	55
IMG_5598_50	1	588137	42
IMG_5598_50	1	588137	21
IMG_5598_50	1	588137	136
IMG_5598_50	1	588137	76
IMG_5598_50	1	588137	23
IMG_5598_50	1	588137	141
IMG_5598_50	1	588137	14
IMG_5598_50	1	588137	20
IMG_5598_50	1	588137	32
IMG_5598_50	1	588137	5995
IMG_5598_50	1	588137	24
IMG_5598_50	1	588137	69
IMG_5598_50	1	588137	38
IMG_5598_50	1	588137	28
IMG_5598_50	1	588137	27
IMG_5598_50	1	588137	23
IMG_5598_50	1	588137	61
IMG_5598_50	1	588137	63
IMG_5598_50	1	588137	12
IMG_5598_50	1	588137	28
IMG_5598_50	1	588137	13
IMG_5598_50	1	588137	71
IMG_5598_50	1	588137	20
IMG_5598_50	1	588137	1128
IMG_5598_50	1	588137	11
IMG_5598_50	1	588137	42
IMG_5598_50	1	588137	24
IMG_5598_50	1	588137	83
IMG_5598_50	1	588137	18
IMG_5598_50	1	588137	21
IMG_5598_50	1	588137	67
IMG_5598_50	1	588137	35
IMG_5598_50	1	588137	93
IMG_5598_50	1	588137	10
IMG_5598_50	1	588137	129
IMG_5598_50	1	588137	47
IMG_5598_50	1	588137	28
IMG_5598_50	1	588137	151
IMG_5598_50	1	588137	19
IMG_5598_50	1	588137	58
IMG_5598_50	1	588137	16
IMG_5598_50	1	588137	258
IMG_5598_50	1	588137	270
IMG_5598_50	1	588137	84
IMG_5598_50	1	588137	175
IMG_5598_50	1	588137	30
IMG_5598_50	1	588137	50
IMG_5598_50	1	588137	27
IMG_5598_50	1	588137	98
IMG_5598_50	1	588137	13
IMG_5598_50	1	588137	41
IMG_5598_50	1	588137	28
IMG_5598_50	1	588137	13
IMG_5598_50	1	588137	26
IMG_5598_50	1	588137	26
IMG_5598_50	1	588137	111
IMG_5598_50	1	588137	138
IMG_5598_50	1	588137	39
IMG_5598_50	1	588137	19
IMG_5598_50	1	588137	301
IMG_5598_50	1	588137	47
IMG_5598_50	1	588137	667
IMG_5598_50	1	588137	372
IMG_5598_50	1	588137	94
IMG_5598_50	1	588137	65
IMG_5598_50	1	588137	61
IMG_5598_50	1	588137	91
IMG_5598_50	1	588137	232
IMG_5598_50	1	588137	105
IMG_5598_50	1	588137	111
