fichier	leaf	surfaceLeaf	surfaceLesion
Chi15	1	10224511	137
Chi15	1	10224511	54
Chi15	1	10224511	204
Chi15	1	10224511	123
Chi15	1	10224511	69
Chi15	1	10224511	92
Chi15	1	10224511	64
Chi15	1	10224511	59
Chi15	1	10224511	68
Chi15	1	10224511	94
Chi15	1	10224511	16
Chi15	1	10224511	127
Chi15	1	10224511	15
Chi15	1	10224511	7443
Chi15	1	10224511	134
Chi15	1	10224511	120
Chi15	1	10224511	42
Chi15	1	10224511	186
Chi15	1	10224511	183
Chi15	1	10224511	124
Chi15	1	10224511	12
Chi15	1	10224511	13
Chi15	1	10224511	97
Chi15	1	10224511	141
Chi15	1	10224511	66
Chi15	1	10224511	37
Chi15	1	10224511	72
Chi15	1	10224511	270
Chi15	1	10224511	157
Chi15	1	10224511	166
Chi15	1	10224511	94
Chi15	1	10224511	280
Chi15	1	10224511	178
Chi15	1	10224511	182
Chi15	1	10224511	183
Chi15	1	10224511	176
Chi15	1	10224511	282
Chi15	1	10224511	120
Chi15	1	10224511	17
Chi15	1	10224511	123
Chi15	1	10224511	170
Chi15	1	10224511	141
Chi15	1	10224511	217
Chi15	1	10224511	105
Chi15	1	10224511	131
Chi15	1	10224511	84
Chi15	1	10224511	251
Chi15	1	10224511	222
Chi15	1	10224511	87
Chi15	1	10224511	84
Chi15	1	10224511	264
Chi15	1	10224511	203
Chi15	1	10224511	114
Chi15	1	10224511	274
Chi15	1	10224511	166
Chi15	1	10224511	57
Chi15	1	10224511	265
Chi15	1	10224511	174
Chi15	1	10224511	83
Chi15	1	10224511	128
Chi15	1	10224511	116
Chi15	1	10224511	61
Chi15	1	10224511	243
Chi15	1	10224511	184
Chi15	1	10224511	132
Chi15	1	10224511	43
Chi15	1	10224511	86
Chi15	1	10224511	88
Chi15	1	10224511	192
Chi15	1	10224511	131
Chi15	1	10224511	115
Chi15	1	10224511	141
Chi15	1	10224511	268
Chi15	1	10224511	171
Chi15	1	10224511	223
Chi15	1	10224511	147
Chi15	1	10224511	267
Chi15	1	10224511	186
Chi15	1	10224511	172
Chi15	1	10224511	330
Chi15	1	10224511	137
Chi15	1	10224511	127
Chi15	1	10224511	196
Chi15	1	10224511	177
Chi15	1	10224511	148
Chi15	1	10224511	98
Chi15	1	10224511	81
Chi15	1	10224511	43
Chi15	1	10224511	162
Chi15	1	10224511	103
Chi15	1	10224511	183
Chi15	1	10224511	196
Chi15	1	10224511	72
Chi15	1	10224511	310
Chi15	1	10224511	94
Chi15	1	10224511	69
Chi15	1	10224511	118
Chi15	1	10224511	86
Chi15	1	10224511	154
Chi15	1	10224511	157
Chi15	1	10224511	121
Chi15	1	10224511	59
Chi15	1	10224511	113
Chi15	1	10224511	147
Chi15	1	10224511	153
Chi15	1	10224511	181
Chi15	1	10224511	319
Chi15	1	10224511	45
Chi15	1	10224511	266
Chi15	1	10224511	228
Chi15	1	10224511	138
Chi15	1	10224511	115
Chi15	1	10224511	221
Chi15	1	10224511	166
Chi15	1	10224511	135
Chi15	1	10224511	197
Chi15	1	10224511	48
Chi15	1	10224511	105
Chi15	1	10224511	234
Chi15	1	10224511	175
Chi15	1	10224511	81
Chi15	1	10224511	101
Chi15	1	10224511	261
Chi15	1	10224511	134
Chi15	1	10224511	131
Chi15	1	10224511	130
Chi15	1	10224511	147
Chi15	1	10224511	222
Chi15	1	10224511	101
Chi15	1	10224511	31
Chi15	1	10224511	132
Chi15	1	10224511	87
Chi15	1	10224511	198
Chi15	1	10224511	213
Chi15	1	10224511	239
Chi15	1	10224511	162
Chi15	1	10224511	142
Chi15	1	10224511	137
Chi15	1	10224511	227
Chi15	1	10224511	166
Chi15	1	10224511	165
Chi15	1	10224511	184
Chi15	1	10224511	202
Chi15	1	10224511	164
Chi15	1	10224511	204
Chi15	1	10224511	309
Chi15	1	10224511	244
Chi15	1	10224511	168
Chi15	1	10224511	177
Chi15	1	10224511	191
Chi15	1	10224511	50
Chi15	1	10224511	255
Chi15	1	10224511	131
Chi15	1	10224511	454
Chi15	1	10224511	142
Chi15	1	10224511	216
Chi15	1	10224511	159
Chi15	1	10224511	143
Chi15	1	10224511	148
Chi15	1	10224511	198
Chi15	1	10224511	361
Chi15	1	10224511	223
Chi15	1	10224511	136
Chi15	1	10224511	153
Chi15	1	10224511	263
Chi15	1	10224511	100
Chi15	1	10224511	187
Chi15	1	10224511	145
Chi15	1	10224511	151
Chi15	1	10224511	18
Chi15	1	10224511	260
Chi15	1	10224511	161
Chi15	1	10224511	134
Chi15	1	10224511	158
Chi15	1	10224511	129
Chi15	1	10224511	135
Chi15	1	10224511	214
Chi15	1	10224511	134
Chi15	1	10224511	229
Chi15	1	10224511	282
Chi15	1	10224511	296
Chi15	1	10224511	150
Chi15	1	10224511	191
Chi15	1	10224511	139
Chi15	1	10224511	279
Chi15	1	10224511	207
Chi15	1	10224511	234
Chi15	1	10224511	176
Chi15	1	10224511	80
Chi15	1	10224511	191
Chi15	1	10224511	84
Chi15	1	10224511	298
Chi15	1	10224511	210
Chi15	1	10224511	544
Chi15	1	10224511	265
Chi15	1	10224511	154
Chi15	1	10224511	178
Chi15	1	10224511	248
Chi15	1	10224511	311
Chi15	1	10224511	65
Chi15	1	10224511	228
Chi15	1	10224511	93
Chi15	1	10224511	198
Chi15	1	10224511	24
Chi15	1	10224511	170
Chi15	1	10224511	295
Chi15	1	10224511	282
Chi15	1	10224511	24
Chi15	1	10224511	85
Chi15	1	10224511	428
Chi15	1	10224511	169
Chi15	1	10224511	88
Chi15	1	10224511	132
Chi15	1	10224511	69
Chi15	1	10224511	411
Chi15	1	10224511	288
Chi15	1	10224511	161
Chi15	1	10224511	94
Chi15	1	10224511	141
Chi15	1	10224511	10
Chi15	1	10224511	252
Chi15	1	10224511	157
Chi15	1	10224511	215
Chi15	1	10224511	227
Chi15	1	10224511	289
Chi15	1	10224511	179
Chi15	1	10224511	229
Chi15	1	10224511	189
Chi15	1	10224511	286
Chi15	1	10224511	177
Chi15	1	10224511	86
Chi15	1	10224511	280
Chi15	1	10224511	323
Chi15	1	10224511	136
Chi15	1	10224511	113
Chi15	1	10224511	169
Chi15	1	10224511	162
Chi15	1	10224511	225
Chi15	1	10224511	56
Chi15	1	10224511	134
Chi15	1	10224511	243
Chi15	1	10224511	178
Chi15	1	10224511	333
Chi15	1	10224511	273
Chi15	1	10224511	363
Chi15	1	10224511	147
Chi15	1	10224511	39
Chi15	1	10224511	280
Chi15	1	10224511	71
Chi15	1	10224511	168
Chi15	1	10224511	229
Chi15	1	10224511	182
Chi15	1	10224511	116
Chi15	1	10224511	246
Chi15	1	10224511	166
Chi15	1	10224511	107
Chi15	1	10224511	229
Chi15	1	10224511	79
Chi15	1	10224511	152
Chi15	1	10224511	260
Chi15	1	10224511	551
Chi15	1	10224511	24
Chi15	1	10224511	176
Chi15	1	10224511	136
Chi15	1	10224511	132
Chi15	1	10224511	315
Chi15	1	10224511	11
Chi15	1	10224511	168
Chi15	1	10224511	22
Chi15	1	10224511	321
Chi15	1	10224511	10
Chi15	1	10224511	32
Chi15	1	10224511	229
Chi15	1	10224511	134
Chi15	1	10224511	154
Chi15	1	10224511	81
Chi15	1	10224511	155
Chi15	1	10224511	170
Chi15	1	10224511	231
Chi15	1	10224511	152
Chi15	1	10224511	48
Chi15	1	10224511	166
Chi15	1	10224511	171
Chi15	1	10224511	77
Chi15	1	10224511	372
Chi15	1	10224511	111
Chi15	1	10224511	132
Chi15	1	10224511	41
Chi15	1	10224511	42
Chi15	1	10224511	145
Chi15	1	10224511	274
Chi15	1	10224511	123
Chi15	1	10224511	168
Chi15	1	10224511	241
Chi15	1	10224511	347
Chi15	1	10224511	228
Chi15	1	10224511	362
Chi15	1	10224511	188
Chi15	1	10224511	223
Chi15	1	10224511	133
Chi15	1	10224511	207
Chi15	1	10224511	227
Chi15	1	10224511	167
Chi15	1	10224511	278
Chi15	1	10224511	176
Chi15	1	10224511	290
Chi15	1	10224511	26
Chi15	1	10224511	129
Chi15	1	10224511	487
Chi15	1	10224511	139
Chi15	1	10224511	267
Chi15	1	10224511	95
Chi15	1	10224511	227
Chi15	1	10224511	351
Chi15	1	10224511	26
Chi15	1	10224511	233
Chi15	1	10224511	143
Chi15	1	10224511	192
Chi15	1	10224511	125
Chi15	1	10224511	98
Chi15	1	10224511	92
Chi15	1	10224511	168
Chi15	1	10224511	245
Chi15	1	10224511	247
Chi15	1	10224511	28
Chi15	1	10224511	506
Chi15	1	10224511	126
Chi15	1	10224511	133
Chi15	1	10224511	46
Chi15	1	10224511	234
Chi15	1	10224511	135
Chi15	1	10224511	214
Chi15	1	10224511	194
Chi15	1	10224511	135
Chi15	1	10224511	72
Chi15	1	10224511	25
Chi15	1	10224511	208
Chi15	1	10224511	37
Chi15	1	10224511	417
Chi15	1	10224511	110
Chi15	1	10224511	159
Chi15	1	10224511	87
Chi15	1	10224511	76
Chi15	1	10224511	12
Chi15	1	10224511	50
Chi15	1	10224511	67
Chi15	1	10224511	138
Chi15	1	10224511	50
Chi15	1	10224511	67
Chi15	1	10224511	151
Chi15	1	10224511	211
Chi15	1	10224511	92
Chi15	1	10224511	192
Chi15	1	10224511	162
Chi15	1	10224511	132
Chi15	1	10224511	80
Chi15	1	10224511	233
Chi15	1	10224511	249
Chi15	1	10224511	85
Chi15	1	10224511	88
Chi15	1	10224511	177
Chi15	1	10224511	187
Chi15	1	10224511	104
Chi15	1	10224511	250
Chi15	1	10224511	18
Chi15	1	10224511	310
Chi15	1	10224511	351
Chi15	1	10224511	25
Chi15	1	10224511	232
Chi15	1	10224511	155
Chi15	1	10224511	10
Chi15	1	10224511	59
Chi15	1	10224511	153
Chi15	1	10224511	304
Chi15	1	10224511	43
Chi15	1	10224511	513
Chi15	1	10224511	252
Chi15	1	10224511	147
Chi15	1	10224511	38
Chi15	1	10224511	228
Chi15	1	10224511	23
Chi15	1	10224511	50
Chi15	1	10224511	320
Chi15	1	10224511	153
Chi15	1	10224511	159
Chi15	1	10224511	71
Chi15	1	10224511	10
Chi15	1	10224511	137
Chi15	1	10224511	11
