fichier	leaf	surfaceLeaf	surfaceLesion
Mock_P06_2	1	265048	81
Mock_P06_2	1	265048	95
Mock_P06_2	1	265048	96
Mock_P06_2	1	265048	164
Mock_P06_2	1	265048	35
Mock_P06_2	1	265048	366
Mock_P06_2	1	265048	116
Mock_P06_2	1	265048	60
Mock_P06_2	1	265048	129
Mock_P06_2	1	265048	87
Mock_P06_2	1	265048	225
Mock_P06_2	1	265048	41
Mock_P06_2	1	265048	110
Mock_P06_2	1	265048	181
Mock_P06_2	1	265048	54
Mock_P06_2	1	265048	255
Mock_P06_2	1	265048	158
Mock_P06_2	1	265048	81
Mock_P06_2	1	265048	128
Mock_P06_2	1	265048	197
Mock_P06_2	1	265048	85
Mock_P06_2	1	265048	125
Mock_P06_2	1	265048	78
Mock_P06_2	1	265048	49
Mock_P06_2	1	265048	34
Mock_P06_2	1	265048	115
Mock_P06_2	1	265048	46
Mock_P06_2	1	265048	78
Mock_P06_2	1	265048	113
Mock_P06_2	1	265048	327
Mock_P06_2	1	265048	76
Mock_P06_2	1	265048	31
Mock_P06_2	1	265048	56
Mock_P06_2	1	265048	54
Mock_P06_2	1	265048	22
Mock_P06_2	1	265048	40
Mock_P06_2	1	265048	189
Mock_P06_2	1	265048	60
Mock_P06_2	1	265048	159
Mock_P06_2	1	265048	49
Mock_P06_2	1	265048	71
Mock_P06_2	1	265048	88
Mock_P06_2	1	265048	56
Mock_P06_2	1	265048	73
Mock_P06_2	1	265048	47
Mock_P06_2	1	265048	88
Mock_P06_2	1	265048	177
Mock_P06_2	1	265048	26
Mock_P06_2	1	265048	128
Mock_P06_2	1	265048	70
Mock_P06_2	1	265048	60
Mock_P06_2	1	265048	50
Mock_P06_2	1	265048	81
Mock_P06_2	1	265048	78
Mock_P06_2	1	265048	35
Mock_P06_2	1	265048	51
Mock_P06_2	1	265048	90
Mock_P06_2	1	265048	51
Mock_P06_2	1	265048	230
Mock_P06_2	1	265048	65
Mock_P06_2	1	265048	98
Mock_P06_2	1	265048	93
Mock_P06_2	1	265048	122
Mock_P06_2	1	265048	210
Mock_P06_2	1	265048	61
Mock_P06_2	1	265048	54
Mock_P06_2	1	265048	122
Mock_P06_2	1	265048	168
Mock_P06_2	1	265048	103
Mock_P06_2	1	265048	249
Mock_P06_2	1	265048	105
Mock_P06_2	1	265048	41
Mock_P06_2	1	265048	298
Mock_P06_2	1	265048	59
Mock_P06_2	1	265048	305
Mock_P06_2	1	265048	95
Mock_P06_2	1	265048	132
Mock_P06_2	1	265048	73
Mock_P06_2	1	265048	84
Mock_P06_2	1	265048	71
Mock_P06_2	1	265048	62
Mock_P06_2	1	265048	204
Mock_P06_2	1	265048	77
Mock_P06_2	1	265048	63
Mock_P06_2	1	265048	136
Mock_P06_2	1	265048	79
Mock_P06_2	1	265048	129
Mock_P06_2	1	265048	149
Mock_P06_2	1	265048	191
Mock_P06_2	1	265048	108
Mock_P06_2	1	265048	202
Mock_P06_2	1	265048	278
Mock_P06_2	1	265048	102
Mock_P06_2	1	265048	102
Mock_P06_2	1	265048	143
Mock_P06_2	1	265048	79
Mock_P06_2	1	265048	127
Mock_P06_2	1	265048	88
Mock_P06_2	1	265048	84
Mock_P06_2	1	265048	136
Mock_P06_2	1	265048	35
Mock_P06_2	1	265048	87
Mock_P06_2	1	265048	92
Mock_P06_2	1	265048	271
Mock_P06_2	1	265048	125
Mock_P06_2	1	265048	98
Mock_P06_2	1	265048	54
Mock_P06_2	1	265048	204
Mock_P06_2	1	265048	83
Mock_P06_2	1	265048	142
Mock_P06_2	1	265048	110
Mock_P06_2	1	265048	111
Mock_P06_2	1	265048	85
Mock_P06_2	1	265048	113
Mock_P06_2	1	265048	61
Mock_P06_2	1	265048	98
Mock_P06_2	1	265048	86
Mock_P06_2	1	265048	95
Mock_P06_2	1	265048	212
Mock_P06_2	1	265048	93
Mock_P06_2	1	265048	127
Mock_P06_2	1	265048	116
Mock_P06_2	1	265048	95
Mock_P06_2	1	265048	117
Mock_P06_2	1	265048	374
Mock_P06_2	1	265048	245
Mock_P06_2	1	265048	87
Mock_P06_2	1	265048	189
Mock_P06_2	1	265048	101
Mock_P06_2	1	265048	103
Mock_P06_2	1	265048	102
Mock_P06_2	1	265048	406
Mock_P06_2	1	265048	110
Mock_P06_2	1	265048	84
Mock_P06_2	1	265048	114
Mock_P06_2	1	265048	94
Mock_P06_2	1	265048	93
Mock_P06_2	1	265048	40
Mock_P06_2	1	265048	112
Mock_P06_2	1	265048	55
Mock_P06_2	1	265048	146
Mock_P06_2	1	265048	89
Mock_P06_2	1	265048	113
Mock_P06_2	1	265048	57
Mock_P06_2	1	265048	126
Mock_P06_2	1	265048	183
Mock_P06_2	1	265048	16
Mock_P06_2	1	265048	114
Mock_P06_2	1	265048	120
Mock_P06_2	1	265048	130
Mock_P06_2	1	265048	84
Mock_P06_2	1	265048	94
Mock_P06_2	1	265048	99
Mock_P06_2	1	265048	105
Mock_P06_2	1	265048	153
Mock_P06_2	1	265048	165
Mock_P06_2	1	265048	214
Mock_P06_2	1	265048	59
Mock_P06_2	1	265048	65
Mock_P06_2	1	265048	81
Mock_P06_2	1	265048	101
Mock_P06_2	1	265048	305
Mock_P06_2	1	265048	124
Mock_P06_2	1	265048	29
Mock_P06_2	1	265048	134
Mock_P06_2	1	265048	62
Mock_P06_2	1	265048	102
Mock_P06_2	1	265048	191
Mock_P06_2	1	265048	142
Mock_P06_2	1	265048	113
Mock_P06_2	1	265048	63
Mock_P06_2	1	265048	159
Mock_P06_2	1	265048	98
Mock_P06_2	1	265048	23
Mock_P06_2	1	265048	66
Mock_P06_2	2	184771	110
Mock_P06_2	2	184771	193
Mock_P06_2	2	184771	138
Mock_P06_2	2	184771	122
Mock_P06_2	2	184771	118
Mock_P06_2	2	184771	115
Mock_P06_2	2	184771	263
Mock_P06_2	2	184771	51
Mock_P06_2	2	184771	66
Mock_P06_2	2	184771	95
Mock_P06_2	2	184771	41
Mock_P06_2	2	184771	50
Mock_P06_2	2	184771	63
Mock_P06_2	2	184771	17
Mock_P06_2	2	184771	96
Mock_P06_2	2	184771	95
Mock_P06_2	2	184771	69
Mock_P06_2	2	184771	211
Mock_P06_2	2	184771	88
Mock_P06_2	2	184771	186
Mock_P06_2	2	184771	111
Mock_P06_2	2	184771	121
Mock_P06_2	2	184771	108
Mock_P06_2	2	184771	141
Mock_P06_2	2	184771	101
Mock_P06_2	2	184771	228
Mock_P06_2	2	184771	109
Mock_P06_2	2	184771	194
Mock_P06_2	2	184771	112
Mock_P06_2	2	184771	138
Mock_P06_2	2	184771	86
Mock_P06_2	2	184771	112
Mock_P06_2	2	184771	75
Mock_P06_2	2	184771	182
Mock_P06_2	2	184771	116
Mock_P06_2	2	184771	126
Mock_P06_2	2	184771	181
Mock_P06_2	2	184771	59
Mock_P06_2	2	184771	79
Mock_P06_2	2	184771	166
Mock_P06_2	2	184771	60
Mock_P06_2	2	184771	98
Mock_P06_2	2	184771	42
Mock_P06_2	2	184771	116
Mock_P06_2	2	184771	126
Mock_P06_2	2	184771	173
Mock_P06_2	2	184771	283
Mock_P06_2	2	184771	104
Mock_P06_2	2	184771	99
Mock_P06_2	2	184771	81
Mock_P06_2	2	184771	224
Mock_P06_2	2	184771	90
Mock_P06_2	2	184771	67
Mock_P06_2	2	184771	103
Mock_P06_2	2	184771	94
Mock_P06_2	2	184771	192
Mock_P06_2	2	184771	89
Mock_P06_2	2	184771	197
Mock_P06_2	2	184771	88
Mock_P06_2	2	184771	95
Mock_P06_2	2	184771	55
Mock_P06_2	2	184771	133
Mock_P06_2	2	184771	92
Mock_P06_2	2	184771	62
Mock_P06_2	2	184771	71
Mock_P06_2	2	184771	61
Mock_P06_2	2	184771	108
Mock_P06_2	2	184771	84
Mock_P06_2	2	184771	139
Mock_P06_2	2	184771	290
Mock_P06_2	2	184771	101
Mock_P06_2	2	184771	92
Mock_P06_2	2	184771	299
Mock_P06_2	2	184771	109
Mock_P06_2	2	184771	64
Mock_P06_2	2	184771	22
Mock_P06_2	2	184771	110
Mock_P06_2	2	184771	199
Mock_P06_2	2	184771	142
Mock_P06_2	2	184771	11
Mock_P06_2	2	184771	83
Mock_P06_2	2	184771	138
Mock_P06_2	2	184771	95
Mock_P06_2	2	184771	149
Mock_P06_2	2	184771	93
Mock_P06_2	2	184771	141
Mock_P06_2	2	184771	134
Mock_P06_2	2	184771	56
Mock_P06_2	2	184771	35
Mock_P06_2	2	184771	107
Mock_P06_2	2	184771	71
Mock_P06_2	2	184771	278
Mock_P06_2	2	184771	88
Mock_P06_2	2	184771	58
Mock_P06_2	2	184771	401
Mock_P06_2	2	184771	89
Mock_P06_2	2	184771	61
Mock_P06_2	2	184771	96
Mock_P06_2	2	184771	144
Mock_P06_2	2	184771	184
Mock_P06_2	2	184771	411
Mock_P06_2	2	184771	288
Mock_P06_2	2	184771	122
Mock_P06_2	2	184771	78
Mock_P06_2	2	184771	119
Mock_P06_2	2	184771	96
Mock_P06_2	2	184771	104
Mock_P06_2	2	184771	12
Mock_P06_2	2	184771	88
Mock_P06_2	2	184771	51
Mock_P06_2	2	184771	261
Mock_P06_2	2	184771	101
Mock_P06_2	2	184771	131
Mock_P06_2	2	184771	100
Mock_P06_2	2	184771	112
Mock_P06_2	2	184771	105
Mock_P06_2	2	184771	134
Mock_P06_2	2	184771	92
Mock_P06_2	2	184771	276
Mock_P06_2	2	184771	342
Mock_P06_2	2	184771	103
Mock_P06_2	2	184771	137
Mock_P06_2	2	184771	106
Mock_P06_2	2	184771	90
Mock_P06_2	2	184771	384
Mock_P06_2	2	184771	167
Mock_P06_2	2	184771	93
Mock_P06_2	2	184771	235
Mock_P06_2	2	184771	148
Mock_P06_2	2	184771	131
Mock_P06_2	2	184771	172
Mock_P06_2	2	184771	92
Mock_P06_2	2	184771	93
Mock_P06_2	2	184771	146
Mock_P06_2	2	184771	154
Mock_P06_2	3	310142	122
Mock_P06_2	3	310142	78
Mock_P06_2	3	310142	115
Mock_P06_2	3	310142	124
Mock_P06_2	3	310142	158
Mock_P06_2	3	310142	78
Mock_P06_2	3	310142	76
Mock_P06_2	3	310142	107
Mock_P06_2	3	310142	190
Mock_P06_2	3	310142	129
Mock_P06_2	3	310142	67
Mock_P06_2	3	310142	40
Mock_P06_2	3	310142	108
Mock_P06_2	3	310142	102
Mock_P06_2	3	310142	96
Mock_P06_2	3	310142	108
Mock_P06_2	3	310142	84
Mock_P06_2	3	310142	75
Mock_P06_2	3	310142	136
Mock_P06_2	3	310142	107
Mock_P06_2	3	310142	73
Mock_P06_2	3	310142	115
Mock_P06_2	3	310142	127
Mock_P06_2	3	310142	118
Mock_P06_2	3	310142	70
Mock_P06_2	3	310142	100
Mock_P06_2	3	310142	140
Mock_P06_2	3	310142	90
Mock_P06_2	3	310142	69
Mock_P06_2	3	310142	146
Mock_P06_2	3	310142	118
Mock_P06_2	3	310142	448
Mock_P06_2	3	310142	147
Mock_P06_2	3	310142	86
Mock_P06_2	3	310142	87
Mock_P06_2	3	310142	182
Mock_P06_2	3	310142	48
Mock_P06_2	3	310142	210
Mock_P06_2	3	310142	96
Mock_P06_2	3	310142	66
Mock_P06_2	3	310142	93
Mock_P06_2	3	310142	101
Mock_P06_2	3	310142	89
Mock_P06_2	3	310142	66
Mock_P06_2	3	310142	85
Mock_P06_2	3	310142	160
Mock_P06_2	3	310142	18
Mock_P06_2	3	310142	66
Mock_P06_2	3	310142	547
Mock_P06_2	3	310142	93
Mock_P06_2	3	310142	109
Mock_P06_2	3	310142	75
Mock_P06_2	3	310142	124
Mock_P06_2	3	310142	65
Mock_P06_2	3	310142	47
Mock_P06_2	3	310142	63
Mock_P06_2	3	310142	124
Mock_P06_2	3	310142	148
Mock_P06_2	3	310142	195
Mock_P06_2	3	310142	150
Mock_P06_2	3	310142	108
Mock_P06_2	3	310142	120
Mock_P06_2	3	310142	215
Mock_P06_2	3	310142	291
Mock_P06_2	3	310142	100
Mock_P06_2	3	310142	191
Mock_P06_2	3	310142	123
Mock_P06_2	3	310142	149
Mock_P06_2	3	310142	102
Mock_P06_2	3	310142	100
Mock_P06_2	3	310142	308
Mock_P06_2	3	310142	200
Mock_P06_2	3	310142	178
Mock_P06_2	3	310142	262
Mock_P06_2	3	310142	134
Mock_P06_2	3	310142	348
Mock_P06_2	3	310142	103
Mock_P06_2	3	310142	132
Mock_P06_2	3	310142	93
Mock_P06_2	3	310142	292
Mock_P06_2	3	310142	153
Mock_P06_2	3	310142	115
Mock_P06_2	3	310142	118
Mock_P06_2	3	310142	218
Mock_P06_2	3	310142	84
Mock_P06_2	3	310142	998
Mock_P06_2	3	310142	573
Mock_P06_2	3	310142	196
Mock_P06_2	3	310142	172
Mock_P06_2	3	310142	96
Mock_P06_2	3	310142	169
Mock_P06_2	3	310142	113
Mock_P06_2	3	310142	186
Mock_P06_2	3	310142	129
Mock_P06_2	3	310142	105
Mock_P06_2	3	310142	235
Mock_P06_2	3	310142	206
Mock_P06_2	3	310142	131
Mock_P06_2	3	310142	105
Mock_P06_2	3	310142	138
Mock_P06_2	3	310142	194
Mock_P06_2	3	310142	562
Mock_P06_2	3	310142	54
Mock_P06_2	3	310142	77
Mock_P06_2	3	310142	158
Mock_P06_2	3	310142	121
Mock_P06_2	3	310142	123
Mock_P06_2	3	310142	84
Mock_P06_2	3	310142	198
Mock_P06_2	3	310142	10
Mock_P06_2	3	310142	140
Mock_P06_2	3	310142	49
Mock_P06_2	3	310142	151
Mock_P06_2	3	310142	87
Mock_P06_2	3	310142	118
Mock_P06_2	3	310142	102
Mock_P06_2	3	310142	270
Mock_P06_2	3	310142	101
