fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P11_2	1	264328	57	5591	2.11517508549983	NA
Mock_P11_2	2	222838	45	4885	2.1921754817401	NA
Mock_P11_2	3	281541	74	8787	3.12103743326904	NA
Mock_P11_2	4	268145	84	12654	4.71908855283522	NA
Mock_P11_2	5	242279	85	13229	5.46023386261294	NA
Mock_P11_2	6	267068	104	14208	5.31999340991807	NA
Mock_P11_2	7	252134	99	17554	6.96217090911975	NA
Mock_P11_2	8	287783	120	19995	6.94794341569864	NA
Mock_P11_2	9	264096	93	15332	5.80546467951048	NA
Mock_P11_2	10	240724	81	13164	5.46850334823283	NA
Mock_P11_2	11	355045	157	19900	5.60492331957921	NA
Mock_P11_2	12	372482	178	27386	7.35230158772773	NA
Mock_P11_2	13	257341	76	8447	3.28241516120634	NA
Mock_P11_2	14	333735	139	17728	5.31199904115541	NA
Mock_P11_2	15	271398	122	14504	5.34418087089809	NA
