fichier	leaf	surfaceLeaf	surfaceLesion
retardataires_1	1	259304	33
retardataires_1	1	259304	36
retardataires_1	1	259304	52
retardataires_1	1	259304	68
retardataires_1	1	259304	13
retardataires_1	1	259304	91
retardataires_1	1	259304	73
retardataires_1	1	259304	132
retardataires_1	1	259304	83
retardataires_1	1	259304	61
retardataires_1	1	259304	80
retardataires_1	1	259304	77
retardataires_1	1	259304	87
retardataires_1	1	259304	54
retardataires_1	1	259304	55
retardataires_1	1	259304	71
retardataires_1	1	259304	28
retardataires_1	1	259304	55
retardataires_1	1	259304	77
retardataires_1	1	259304	105
retardataires_1	1	259304	56
retardataires_1	1	259304	84
retardataires_1	1	259304	64
retardataires_1	1	259304	182
retardataires_1	1	259304	100
retardataires_1	1	259304	47
retardataires_1	1	259304	60
retardataires_1	1	259304	44
retardataires_1	1	259304	76
retardataires_1	1	259304	68
retardataires_1	1	259304	51
retardataires_1	1	259304	193
retardataires_1	1	259304	78
retardataires_1	1	259304	55
retardataires_1	1	259304	22
retardataires_1	1	259304	66
retardataires_1	1	259304	31
retardataires_1	1	259304	78
retardataires_1	1	259304	58
retardataires_1	2	298231	130
retardataires_1	2	298231	51
retardataires_1	2	298231	92
retardataires_1	2	298231	77
retardataires_1	2	298231	110
retardataires_1	2	298231	151
retardataires_1	2	298231	107
retardataires_1	2	298231	149
retardataires_1	2	298231	147
retardataires_1	2	298231	96
retardataires_1	2	298231	76
retardataires_1	2	298231	90
retardataires_1	2	298231	98
retardataires_1	2	298231	135
retardataires_1	2	298231	101
retardataires_1	2	298231	84
retardataires_1	2	298231	80
retardataires_1	2	298231	99
retardataires_1	2	298231	95
retardataires_1	2	298231	77
retardataires_1	2	298231	129
retardataires_1	2	298231	84
retardataires_1	2	298231	62
retardataires_1	2	298231	63
retardataires_1	2	298231	23
retardataires_1	2	298231	101
retardataires_1	2	298231	78
retardataires_1	2	298231	149
retardataires_1	2	298231	81
retardataires_1	2	298231	78
retardataires_1	2	298231	71
retardataires_1	2	298231	77
retardataires_1	2	298231	98
retardataires_1	2	298231	411
retardataires_1	2	298231	135
retardataires_1	2	298231	22
retardataires_1	2	298231	150
retardataires_1	2	298231	119
retardataires_1	2	298231	26
retardataires_1	2	298231	33
retardataires_1	2	298231	108
retardataires_1	2	298231	108
retardataires_1	2	298231	86
retardataires_1	2	298231	84
retardataires_1	2	298231	64
retardataires_1	2	298231	22
retardataires_1	3	287872	77
retardataires_1	3	287872	86
retardataires_1	3	287872	63
retardataires_1	3	287872	47
retardataires_1	3	287872	58
