fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
retardataires_1	1	259304	39	2744	1.05821738191466	NA
retardataires_1	2	298231	46	4507	1.51124463922262	NA
retardataires_1	3	287872	33	2478	0.860799244108493	NA
retardataires_1	4	296719	32	2710	0.913322031956161	NA
retardataires_1	5	279761	49	4793	1.71324809390873	NA
retardataires_1	6	284245	55	4689	1.6496332389312	NA
retardataires_1	7	272306	90	11492	4.22025221625671	NA
retardataires_1	8	335916	96	9309	2.77122852141607	NA
retardataires_1	9	253649	54	5994	2.36310807454396	NA
retardataires_1	10	248895	70	7624	3.06313907471022	NA
retardataires_1	11	283367	65	5284	1.86471960390589	NA
retardataires_1	12	298203	83	8437	2.82928072487534	NA
retardataires_1	13	287876	45	3144	1.09213689227306	NA
retardataires_1	14	353918	97	9281	2.62235885148537	NA
retardataires_1	15	326584	67	6919	2.11859735933175	NA
retardataires_1	16	345346	88	8433	2.44189884927001	NA
retardataires_1	17	316313	29	2374	0.750522425572139	NA
retardataires_1	18	306095	83	6870	2.24440124797857	NA
retardataires_1	19	318566	74	5859	1.83917932233823	NA
