fichier	leaf	surfaceLeaf	surfaceLesion
IMG_5593_50	1	609146	718
IMG_5593_50	1	609146	142
IMG_5593_50	1	609146	28
IMG_5593_50	1	609146	13
IMG_5593_50	1	609146	68
IMG_5593_50	1	609146	14
IMG_5593_50	1	609146	730
IMG_5593_50	1	609146	42
IMG_5593_50	1	609146	6331
IMG_5593_50	1	609146	38
IMG_5593_50	1	609146	10
IMG_5593_50	1	609146	545
IMG_5593_50	1	609146	3316
IMG_5593_50	1	609146	48
IMG_5593_50	1	609146	175
IMG_5593_50	1	609146	2603
IMG_5593_50	1	609146	221
IMG_5593_50	1	609146	10
IMG_5593_50	1	609146	18
IMG_5593_50	1	609146	139
IMG_5593_50	1	609146	25
IMG_5593_50	1	609146	19
IMG_5593_50	1	609146	26
IMG_5593_50	1	609146	531
IMG_5593_50	1	609146	10
IMG_5593_50	1	609146	19
IMG_5593_50	1	609146	123
IMG_5593_50	1	609146	42
IMG_5593_50	1	609146	91
IMG_5593_50	1	609146	19
IMG_5593_50	1	609146	16
IMG_5593_50	1	609146	69
IMG_5593_50	1	609146	13
IMG_5593_50	1	609146	215
IMG_5593_50	1	609146	642
IMG_5593_50	1	609146	30
IMG_5593_50	1	609146	42
IMG_5593_50	1	609146	121
IMG_5593_50	1	609146	1269
IMG_5593_50	1	609146	102
IMG_5593_50	1	609146	396
IMG_5593_50	1	609146	15
IMG_5593_50	1	609146	163
IMG_5593_50	1	609146	14
IMG_5593_50	1	609146	26
IMG_5593_50	1	609146	68
IMG_5593_50	1	609146	476
IMG_5593_50	1	609146	19
IMG_5593_50	1	609146	79
IMG_5593_50	1	609146	71
IMG_5593_50	1	609146	10
IMG_5593_50	1	609146	1881
IMG_5593_50	1	609146	312
IMG_5593_50	1	609146	21
IMG_5593_50	1	609146	101
IMG_5593_50	1	609146	4682
IMG_5593_50	1	609146	33
IMG_5593_50	1	609146	220
IMG_5593_50	1	609146	12
IMG_5593_50	1	609146	21
IMG_5593_50	1	609146	2306
IMG_5593_50	1	609146	39
IMG_5593_50	1	609146	17
IMG_5593_50	1	609146	92
IMG_5593_50	1	609146	132
IMG_5593_50	1	609146	366
IMG_5593_50	1	609146	49
IMG_5593_50	1	609146	185
IMG_5593_50	1	609146	27
IMG_5593_50	1	609146	22
IMG_5593_50	1	609146	6288
IMG_5593_50	1	609146	253
IMG_5593_50	1	609146	39
IMG_5593_50	1	609146	188
IMG_5593_50	1	609146	79
IMG_5593_50	1	609146	36
IMG_5593_50	1	609146	1088
IMG_5593_50	1	609146	51
IMG_5593_50	1	609146	91
IMG_5593_50	1	609146	961
IMG_5593_50	1	609146	19
IMG_5593_50	1	609146	31
IMG_5593_50	1	609146	11
IMG_5593_50	1	609146	22
IMG_5593_50	1	609146	53
IMG_5593_50	1	609146	58
IMG_5593_50	1	609146	37
IMG_5593_50	1	609146	18
IMG_5593_50	1	609146	647
IMG_5593_50	1	609146	182
IMG_5593_50	1	609146	1011
IMG_5593_50	1	609146	52
IMG_5593_50	1	609146	11
IMG_5593_50	1	609146	789
IMG_5593_50	1	609146	27330
IMG_5593_50	1	609146	260
IMG_5593_50	1	609146	13
IMG_5593_50	1	609146	118
IMG_5593_50	1	609146	17
IMG_5593_50	1	609146	318
IMG_5593_50	1	609146	24
IMG_5593_50	1	609146	235
IMG_5593_50	1	609146	163
IMG_5593_50	1	609146	29
IMG_5593_50	1	609146	16
