 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
BD0009	199	165	167	194	124	259	281	213	278	166
BD0024	197	163	151	194	115	253	284	211	284	168
BF0030	197	163	151	194	103	250	284	210	284	168
BF0031	197	163	151	194	103	250	284	211	284	168
BF0033	197	165	151	194	112	253	284	213	284	168
BF0034	197	165	151	196	112	253	284	213	284	168
BF0035	197	165	151	194	112	253	284	213	284	168
BF0036	197	165	151	196	112	253	284	213	284	168
BF0041	199	163	151	194	112	250	284	213	284	168
BF0042	199	163	151	194	112	250	284	213	284	168
BF0043	199	163	151	194	112	250	284	213	284	168
BF0044	199	163	151	194	112	250	284	213	284	168
BF0045	199	163	151	194	112	250	284	213	284	168
BF0046	199	163	151	194	112	250	284	213	284	168
BF0047	199	163	151	194	112	250	284	213	284	168
BF0049	199	163	151	194	112	250	284	213	284	168
BF0050	197	163	151	194	103	250	284	211	284	168
BF0051	197	163	151	194	103	250	284	211	284	168
BF0052	197	163	151	194	103	250	284	211	284	168
BF0053	197	165	151	194	121	253	284	215	284	168
BF0055	197	165	151	194	121	253	284	215	284	168
BF0057	197	165	151	194	112	253	284	215	284	168
BF0058	197	165	151	194	112	253	284	215	284	168
BF0059	197	165	151	194	112	253	284	215	284	168
BF0060	197	165	151	194	109	253	284	215	284	168
BF0061	199	165	151	194	112	253	284	213	999	168
BF0062	197	163	151	194	103	250	284	211	284	168
BF0063	199	163	151	194	112	250	284	213	284	168
BF0064	197	165	151	194	112	253	284	217	284	168
BF0065	197	165	151	194	112	253	284	215	284	168
BF0066	197	165	151	194	112	253	284	215	284	168
BF0067	197	165	151	194	112	253	284	215	284	168
BF0068	197	165	151	194	112	253	284	215	284	168
BF0069	197	165	151	194	112	253	284	215	284	168
BF0070	199	163	151	194	112	250	284	213	284	168
BF0072	209	157	151	999	109	241	284	199	272	170
BF0073	197	163	151	194	103	250	284	211	284	168
BF0074	197	163	151	194	103	250	284	211	284	168
BF0075	197	163	151	194	103	250	284	211	284	166
BF0076	197	169	149	196	112	277	287	215	281	166
BF0077	197	163	151	194	103	250	284	211	284	168
BF0078	197	163	151	194	103	250	284	211	284	166
BF0079	197	169	151	194	112	253	284	213	284	168
BF0080	199	183	167	218	112	253	284	217	281	166
BF0081	197	167	149	192	130	268	284	223	281	166
BF0082	197	169	151	194	112	253	284	213	284	168
BF0083	203	157	151	999	109	241	284	199	272	170
BF0084	197	165	151	194	112	253	284	215	284	168
BF0085	197	165	151	194	112	253	284	215	284	168
BF0086	197	163	151	194	109	253	284	215	284	168
BF0087	199	163	149	218	112	253	287	221	284	166
BF0088	197	165	151	194	112	253	284	217	284	168
BF0089	197	165	151	194	112	253	284	215	284	168
BF0090	197	165	151	194	112	253	284	215	284	168
BF0091	199	167	151	194	112	253	284	213	284	168
BF0092	197	169	149	192	130	268	284	223	281	166
BF0093	203	157	151	999	109	241	284	199	272	170
BF0094	197	165	151	194	112	253	284	215	284	168
BF0095	197	165	151	194	91	253	284	215	284	168
BF0096	197	167	149	192	130	247	284	223	281	166
BF0097	197	167	149	192	130	268	284	219	281	166
BF0098	197	165	151	194	112	253	284	215	284	168
BF0099	199	163	149	216	112	253	287	217	284	166
BF0100	199	165	149	218	112	253	287	215	284	166
BF0101	199	163	149	216	112	253	287	217	284	166
BF0102	197	165	151	194	112	253	284	217	284	168
BF0103	199	163	149	216	112	253	287	217	284	166
BF0104	197	165	151	194	112	253	284	221	284	168
BF0105	197	165	151	194	112	253	284	217	284	168
BF0106	199	163	149	218	112	253	287	215	281	166
BF0107	199	159	149	216	112	253	287	213	284	166
BF0108	197	165	151	194	112	253	284	215	284	168
BF0109	197	165	151	194	112	253	284	217	284	168
BF0110	199	165	149	218	112	253	287	213	284	166
BF0111	199	167	151	194	112	253	284	213	284	168
BF0112	197	163	151	194	112	253	284	219	284	168
BF0113	199	163	149	216	112	253	287	213	287	166
BF0114	199	163	149	218	112	253	287	215	281	166
BF0115	197	163	151	194	103	250	284	211	284	168
BF0116	197	163	151	194	103	250	284	211	284	168
BF0117	197	165	151	194	112	253	284	217	284	168
BF0118	199	159	149	216	112	253	287	213	284	166
BF0119	197	165	151	194	112	253	284	217	284	168
BF0120	199	161	149	218	112	253	287	215	281	166
BF0121	197	163	151	194	112	253	284	217	284	168
BF0122	197	165	151	194	112	253	284	219	284	168
BF0123	199	163	149	216	112	253	287	213	287	166
BF0124	199	165	151	194	112	253	284	215	284	168
BF0125	197	165	151	192	112	253	284	217	284	168
BF0126	199	165	151	194	112	253	284	215	284	168
BF0127	197	165	151	194	112	253	284	217	284	168
BF0128	197	165	151	194	112	253	284	217	284	168
